id,shpcountry,rcvcountry
AquaDelight Inc and Son's,Polarinda,Oceanus
BaringoAmerica Marine Ges.m.b.H.,NA,NA
Yu gan  Sea spray GmbH Industrial,Oceanus,Oceanus
FlounderLeska Marine BV,NA,NA
Olas del Mar Worldwide,Oceanus,Oceanus
French Crab S.p.A. Worldwide,Kondanovia,Utoporiana
KisumuSeafood Brothers Ltd,NA,NA
Panope Limited Liability Company,Vesperanda,Oceanus
hǎi dǎn Corporation Wharf,Marebak,Oceanus
NamRiver Transit A/S,NA,NA
Sea Breezes GmbH & Co. KG Shark,Oceanus,Oceanus
Khundu Whale AG Cargo,Oceanus,Oceanus
Oka Charter Boat  Transport OJSC,NA,NA
1 Ltd. Corporation Transport,Coral Solis,Oceanus
ScaniaSeafood Holdings Ltd. Liability Co,NA,NA
Irish Sea  Limited Liability Company,Marebak,Oceanus
SouthLeska Worldwide AS,NA,NA
Costa de la Felicidad Shipping,Alverossia,Oceanus
Mar del Este CJSC,Merigrad,Oceanus
8.Marine United AG,NA,NA
Mandalore S.A. de C.V. Logistics,Osterivaria,Oceanus
Black Sea Tuna Snapper,Puerto Sol,Oceanus
Arunachal Pradesh s Inc,Merigrad,Oceanus
SeaBass &  SE Tanker,Arreciviento,Oceanus
Caracola Azul Ltd. Corporation,Lumaland,Oceanus
Sailors and Surfers Incorporated Enterprises,Puerto Sol,Oceanus
CoastalCuisine S.A. de C.V. Tuna,Vesperanda,Oceanus
Faroe Islands Halibut AS,Uzifrica,Oceanus
Volga River LLC Enterprises,Quornova,Oceanus
9.RiverLine CJSC,NA,NA
The Salty Dog Pic,Isliandor,Oceanus
Olas del Sur GmbH & Co. KG Services,Oceanus,Oceanus
Ocean Odyssey Sagl Carriers,Marebak,Puerto Sol
Cape of Good Hope   S.p.A.,Kondanovia,Oceanus
Costa del Sol N.V.,Marebak,Oceanus
Ancla de Oro Roe Ltd Shipping,Sirenareef,Oceanus
Selous Game Reserve  S.A. de C.V.,Isliandor,Oceanus
Coral del Sur AG Seabass,Rio Isla,Oceanus
Cape Verde Islands  Catchers GmbH & Co. KG Shipping,Anderia del Mar,Oceanus
Dubingiai Ltd. Liability Co,Kondanovia,Oceanus
Oceanic Oasis Plc Cargo,Coralmarica,Oceanus
Aqua Mermaid Marine ecology,Calabrix,Oceanus
AguaLeska Transit N.V.,NA,NA
Caracola del Sol Services,Puerto Sol,Oceanus
Scottish Oysters Tsunami Sp Line,Marebak,Oceanus
-1143,Oceanus,Oceanus
Brisa del Mar GmbH,Merigrad,Oceanus
Ocean Quest Sea LLC Line,Alverossia,Oceanus
Saltwater Supreme ОАО Forwading,Puerto Sol,Oceanus
-6894,Luminkind,Oceanus
Turkish Sword S.A. de C.V. Trout,Rio Isla,Oceanus
Océano de Coral Corporation Express,Vesperanda,Oceanus
Pao gan SE Seal,Alverossia,Oceanus
Madhya Pradesh  Market Breakwater,Isliandor,Oceanus
Lake Kivu   BV United,Vesperand's Bay,Oceanus
Senegal Coast  Dredge NV Transit,Utoporiana,Oceanus
Estrella del Mar Tilapia Oyj Marine,Coralmarica,Oceanus
-12516,Oceanus,Oceanus
Oceanic Explorers Sashimi Inc Solutions,Oceanus,Oceanus
Lake Victoria Nile    Corporation,Sol y Oceana,Oceanus
ArawakFish Cargo Ges.m.b.H.,NA,NA
Barents Sea Shrimp NV,Merigrad,Oceanus
Punjab s Marine conservation,Riodelsol,Oceanus
Estrella de Coral Ltd. Corporation Merchants,Marebak,Oceanus
Tripura  Pier N.V. Solutions,Orvietea,Oceanus
Faroe Islands Halibut Sea S.p.A. Distribution,Baziuzim,Oceanus
Kong zhong diao yu  A/S,Merigrad,Oceanus
Dry CreekWorldLogistics Ltd. Liability Co,NA,NA
-1515,Oceanus,Oceanus
Arunachal Pradesh s SRL,Osterivaria,Oceanus
SeaBite SRL and Son's,Brindisola,Coralmarica
Mar de la Vida Ltd. Liability Co,Utoporiana,Oceanus
GvardeyskAmerica Shipping Plc,NA,NA
Norwegian Fjord  GmbH Services,Vesperanda,Oceanus
Portuguese Sardines Ltd. Corporation,Puerto Sol,Oceanus
Skeleton Coastline S.A. de C.V.,Coralmarica,Coralmarica
Himachal Pradesh   Plc International,Isliandor,Oceanus
Irish Trout Inc Solutions,Mawazam,Coralmarica
Surf and Sand OJSC Freight ,Marebak,Oceanus
SeaSpray Marine biology Ltd Distribution,Utoporiana,Oceanus
Costa de Oro LLC,Marebak,Oceanus
Playa de la Luna Incorporated,Kondanovia,Oceanus
Odisha  GmbH & Co. KG,Oceanus,Oceanus
Uttarakhand  Market Limited Liability Company Nautical,Helixia,Oceanus
Ola del Este Oyj,Marebak,Oceanus
Niger Bend   Limited Liability Company Marine ecology,Quornova,Oceanus
-4897,Luminkind,Oceanus
Portuguese Tuna Incorporated Marine,Oceanus,Oceanus
HomabayMarine Carriers N.V.,NA,NA
Selkie Ltd. Liability Co,Lumaland,Riodelsol
lú yú GmbH & Co. KG,Lumaland,Oceanus
xiǎo lóng xiā Kga,Coralmar,Oceanus
KambalaSea Freight  Inc,NA,NA
Caracola Azul Oyj &,Playa Solis,Oceanus
Coral Cove BV Delivery,Quornova,Oceanus
Playa de Arena Submarine S.A. de C.V. Marine,Vesperanda,Oceanus
Arunachal Pradesh s Brine,Nalakond,Oceanus
Lake Victoria Nile    Ltd. Corporation,Marebak,Oceanus
