from,to,hscode,Year,weights
1 Ltd. Liability Co Cargo,Himachal Pradesh  BV Holdings,306170,2028,67
1 Ltd. Liability Co Cargo,Himachal Pradesh  BV Holdings,306170,2029,59
1 Ltd. Liability Co Cargo,Himachal Pradesh  BV Holdings,306170,2030,26
1 Ltd. Liability Co Cargo,Pao gan SE Seal,306170,2030,148
1 Ltd. Liability Co Cargo,Pao gan SE Seal,306170,2031,63
1 Ltd. Liability Co Cargo,Pao gan SE Seal,306170,2033,36
1 Ltd. Liability Co Cargo,Pao gan SE Seal,306170,2034,24
1 Ltd. Liability Co Cargo,Saltwater Supreme Pelican Ltd Enterprises,306170,2029,29
1 Ltd. Liability Co Cargo,Saltwater Supreme Pelican Ltd Enterprises,306170,2030,41
1 Ltd. Liability Co Cargo,Yu xian  SRL Industrial,306170,2029,25
9 Marine biology Ltd Family,Caracola del Sol Services,306170,2031,29
9 Marine biology Ltd Family,Caracola del Sol Services,306170,2032,26
Adriatic Catch Ltd. Liability Co Transportation,-5910,306170,2031,28
Adriatic Catch Ltd. Liability Co Transportation,AquaDelight N.V. Coral Reef,306170,2032,51
Adriatic Catch Ltd. Liability Co Transportation,AquaDelight N.V. Coral Reef,306170,2033,70
Adriatic Catch Ltd. Liability Co Transportation,AquaDelight N.V. Coral Reef,306170,2034,43
Adriatic Catch Ltd. Liability Co Transportation,Caracola del Sol Services,306170,2033,31
Adriatic Catch Ltd. Liability Co Transportation,Caracola del Sol Services,306170,2034,23
Adriatic Catch Ltd. Liability Co Transportation,Costa de la Felicidad Shipping,306170,2034,27
Adriatic Catch Ltd. Liability Co Transportation,Mar del Paraíso Corporation Logistics,306170,2029,29
Adriatic Catch Ltd. Liability Co Transportation,Mar del Paraíso Corporation Logistics,306170,2030,33
Adriatic Catch Ltd. Liability Co Transportation,Mar del Paraíso Corporation Logistics,306170,2031,48
Adriatic Catch Ltd. Liability Co Transportation,Mar del Paraíso Corporation Logistics,306170,2032,25
Adriatic Catch Ltd. Liability Co Transportation,Mar del Paraíso Corporation Logistics,306170,2033,38
Adriatic Catch Ltd. Liability Co Transportation,Sea Breeze Corporation Marine sanctuary,306170,2029,32
Adriatic Catch Ltd. Liability Co Transportation,Sea Breeze Corporation Marine sanctuary,306170,2030,36
Adriatic Catch Ltd. Liability Co Transportation,Sea Breeze Corporation Marine sanctuary,306170,2032,38
Adriatic Catch Ltd. Liability Co Transportation,Selous Game Reserve  S.A. de C.V.,306170,2031,29
Adriatic Catch Ltd. Liability Co Transportation,Selous Game Reserve  S.A. de C.V.,306170,2033,26
Adriatic Catch Ltd. Liability Co Transportation,The Sea Turtle GmbH & Co. KG,306170,2028,30
Adriatic Catch Ltd. Liability Co Transportation,The Sea Turtle GmbH & Co. KG,306170,2029,22
Adriatic Catch Ltd. Liability Co Transportation,The Sea Turtle GmbH & Co. KG,306170,2033,62
Adriatic Catch Ltd. Liability Co Transportation,The Sea Turtle GmbH & Co. KG,306170,2034,121
Adriatic Tuna AS Solutions,AquaDelight N.V. Coral Reef,306170,2028,22
Adriatic Tuna AS Solutions,Caracola del Sol Services,306170,2028,21
Adriatic Tuna AS Solutions,Caracola del Sol Services,306170,2030,44
Adriatic Tuna AS Solutions,Caracola del Sol Services,306170,2031,39
Adriatic Tuna AS Solutions,Caracola del Sol Services,306170,2032,125
Adriatic Tuna AS Solutions,Caracola del Sol Services,306170,2033,104
Adriatic Tuna AS Solutions,Caracola del Sol Services,306170,2034,53
Adriatic Tuna AS Solutions,Costa de la Felicidad Shipping,306170,2030,32
Adriatic Tuna AS Solutions,Costa de la Felicidad Shipping,306170,2031,25
Adriatic Tuna AS Solutions,Madagascar Coast  AG Freight ,306170,2034,59
Amerigo Dockyard S.p.A. Distribution,Shou gan  Limited Liability Company Distribution,306170,2028,42
Amerigo Dockyard S.p.A. Distribution,Shou gan  Limited Liability Company Distribution,306170,2029,28
Amerigo Dockyard S.p.A. Distribution,Shou gan  Limited Liability Company Distribution,306170,2030,22
Amerigo Dockyard S.p.A. Distribution,Shou gan  Limited Liability Company Distribution,306170,2031,23
Ancla de Oro N.V.,Pao gan SE Seal,306170,2029,162
Ancla de Oro N.V.,Pao gan SE Seal,306170,2030,84
Ancla de Oro N.V.,hǎi dǎn Corporation Wharf,306170,2029,30
Ancla del Este AS,-753,306170,2031,37
Ancla del Este AS,3 Oceanography ОАО Marine life,306170,2029,28
Ancla del Este AS,Ancla del Este Merchants,306170,2030,28
Aqua Adventures Carriers Seabed,-41,306170,2032,29
Aqua Adventures Carriers Seabed,-41,306170,2033,32
Aqua Adventures Carriers Seabed,-41,306170,2034,27
Aqua Adventures Carriers Seabed,Caracola del Este Ltd. Liability Co,306170,2028,75
Aqua Adventures Carriers Seabed,Caracola del Este Ltd. Liability Co,306170,2029,23
Aqua Adventures Carriers Seabed,Caracola del Este Ltd. Liability Co,306170,2030,30
Aqua Adventures Carriers Seabed,Caracola del Este Ltd. Liability Co,306170,2032,43
Aqua Adventures Carriers Seabed,Caracola del Este Ltd. Liability Co,306170,2033,46
Aqua Adventures Carriers Seabed,Caracola del Este Ltd. Liability Co,306170,2034,54
Aqua Adventures Carriers Seabed,Caracola del Sol Services,306170,2030,29
Aqua Adventures Carriers Seabed,Caracola del Sol Services,306170,2031,42
Aqua Adventures Carriers Seabed,Caracola del Sol Services,306170,2032,25
Aqua Adventures Carriers Seabed,Casablanca Coast  Flounder Oyj Line,306170,2028,21
Aqua Adventures Carriers Seabed,Costa de la Felicidad Shipping,306170,2031,34
Aqua Adventures Carriers Seabed,Costa de la Felicidad Shipping,306170,2032,28
Aqua Adventures Carriers Seabed,Lake Turkana  Charter Boat  NV Marine,306170,2028,37
Aqua Adventures Carriers Seabed,Lake Turkana  Charter Boat  NV Marine,306170,2029,34
Aqua Adventures Carriers Seabed,Lake Turkana  Charter Boat  NV Marine,306170,2030,43
Aqua Adventures Carriers Seabed,Lake Turkana  Charter Boat  NV Marine,306170,2031,48
Aqua Adventures Carriers Seabed,Sea Breeze Corporation Marine sanctuary,306170,2028,43
Aqua Adventures Carriers Seabed,Sea Breeze Corporation Marine sanctuary,306170,2029,23
Aqua Azul LC International,-5669,306170,2028,53
Aqua Azul LC International,-5669,306170,2029,79
Aqua Azul LC International,-5670,306170,2028,21
Aqua Azul LC International,-5670,306170,2029,27
Aqua Azul LC International,-5670,306170,2030,24
Aqua Azul LC International,Arunachal Pradesh s Brine,306170,2028,215
Aqua Azul LC International,Arunachal Pradesh s Brine,306170,2029,203
Aqua Azul LC International,Arunachal Pradesh s Brine,306170,2030,285
Aqua Azul LC International,Arunachal Pradesh s Brine,306170,2031,319
Aqua Azul LC International,Arunachal Pradesh s Brine,306170,2032,342
Aqua Azul LC International,Arunachal Pradesh s Brine,306170,2033,520
Aqua Azul LC International,Arunachal Pradesh s Brine,306170,2034,646
Aqua Azul LC International,Caracola del Sol Services,306170,2032,27
Aqua Azul LC International,Caracola del Sol Services,306170,2033,30
Aqua Azul LC International,Costa de la Felicidad Shipping,306170,2028,25
Aqua Azul LC International,Lake Turkana  Charter Boat  NV Marine,306170,2028,30
Aqua Azul LC International,Mar del Este CJSC,306170,2028,22
Aqua Azul LC International,Mar del Placer Manatee,306170,2030,28
Aqua Azul LC International,Mar del Placer Manatee,306170,2031,90
Aqua Azul LC International,Mar del Placer Manatee,306170,2032,130
Aqua Azul LC International,Mar del Placer Manatee,306170,2033,30
Aqua Mermaid Sagl Merchants,Black Sea Tuna Snapper,306170,2034,34
Aqua Mermaid Sagl Merchants,Caracola del Sol Services,306170,2032,39
Aqua Mermaid Sagl Merchants,Caracola del Sol Services,306170,2033,31
Aqua Mermaid Sagl Merchants,Mar de la Felicidad GmbH Worldwide,306170,2032,21
Aqua Mermaid Sagl Merchants,Sea Breeze Corporation Marine sanctuary,306170,2033,29
Aqua Mermaid Sagl Merchants,lú yú GmbH & Co. KG,306170,2030,29
AquaCuisine  Ltd. Liability Co,Assam  Market Cargo ship Company Marine conservation,306170,2034,29
AquaCuisine  Ltd. Liability Co,hǎi dǎn Corporation Wharf,306170,2033,36
AquaCuisine  Ltd. Liability Co,hǎi dǎn Corporation Wharf,306170,2034,25
Arena del Sol Pic,Caracola del Sol Services,306170,2032,27
Arena del Sol Pic,Caracola del Sol Services,306170,2033,55
Arena del Sol Pic,Caracola del Sol Services,306170,2034,37
Arena del Sol SRL,Pao gan SE Seal,306170,2029,23
Arunachal Pradesh s GmbH,Brisa del Este BV,306170,2034,21
Arunachal Pradesh s Plc,-54,306170,2034,31
Arunachal Pradesh s Plc,AquaDelight N.V. Coral Reef,306170,2034,53
Arunachal Pradesh s Plc,Black Sea Tuna Sagl,306170,2034,21
Arunachal Pradesh s Plc,Costa de la Felicidad Shipping,306170,2031,46
Arunachal Pradesh s Plc,Costa de la Felicidad Shipping,306170,2032,38
Arunachal Pradesh s Plc,Dubingiai Ltd. Liability Co,306170,2028,28
Arunachal Pradesh s Plc,Náutica del Sol Corporation,306170,2031,40
Arunachal Pradesh s Plc,Náutica del Sol Corporation,306170,2034,28
Arunachal Pradesh s Plc,Punjab s Marine conservation,306170,2030,36
Arunachal Pradesh s Plc,Selous Game Reserve  S.A. de C.V.,306170,2033,39
Arunachal Pradesh s ОАО,Caracola del Sol Services,306170,2034,30
Assam  Market Kga Brothers,Adriatic Mackerel Ges.m.b.H. Family,306170,2032,31
Atlantic Ocean Coast  Inc & Son's,-54,306170,2034,27
Atlantic Ocean Coast  Navigation Corporation Transportation,hǎi dǎn Corporation Wharf,306170,2031,28
Atlantic Ocean Coast  S.A. de C.V. Pelican,Brisa del Este BV,306170,2031,22
Atlantic Ocean Coast  S.A. de C.V. Pelican,Costa de la Felicidad Shipping,306170,2029,23
Atlas Mountains  GmbH & Co. KG,Mar del Placer Manatee,306170,2034,30
Bahía del Sol - S.p.A. Marine,Isla del Tesoro GmbH & Co. KG Chart,306170,2034,28
Bahía del Sol - S.p.A. Marine,Madagascar Coast  AG Freight ,306170,2033,34
Bahía del Sol - S.p.A. Marine,Madagascar Coast  AG Freight ,306170,2034,22
Bahía del Sol Kga Consulting,Mar del Placer Manatee,306170,2029,22
Bahía del Sol Kga Consulting,Mar del Placer Manatee,306170,2030,46
Bahía del Sol Kga Consulting,Mar del Placer Manatee,306170,2031,53
Bahía del Sol Kga Consulting,Mar del Placer Manatee,306170,2032,55
Bahía del Sol Kga Consulting,Mar del Placer Manatee,306170,2033,91
Balkan  Ltd. Corporation Marine,Tripura  Pier N.V. Solutions,306170,2034,54
Balkan Anchovy Ltd. Corporation,Sailors and Surfers Incorporated Enterprises,306170,2030,54
Balkan Anchovy Ltd. Corporation,Sailors and Surfers Incorporated Enterprises,306170,2031,48
Balkan Anchovy Ltd. Corporation,Sailors and Surfers Incorporated Enterprises,306170,2032,42
Balkan Cat ОАО Transport,AquaDelight N.V. Coral Reef,306170,2028,104
Balkan Cat ОАО Transport,AquaDelight N.V. Coral Reef,306170,2029,51
Balkan Cat ОАО Transport,Assam  Market Cargo ship Company Marine conservation,306170,2032,31
